tmdb_id,title,year,status,rt_url,rt_title,imdb_id,critics_score,critics_sentiment,audience_score,audience_sentiment,mpaa_rating
9364,Wuthering Heights,2011,ok,https://www.rottentomatoes.com/m/wuthering_heights_2011,Wuthering Heights (2011),,70,POSITIVE,47,NEGATIVE,
9366,Donnie Brasco,1997,ok,https://www.rottentomatoes.com/m/donnie_brasco,Donnie Brasco,,88,POSITIVE,89,POSITIVE,R
9367,El Mariachi,1993,ok,https://www.rottentomatoes.com/m/el_mariachi,El Mariachi,,91,POSITIVE,76,POSITIVE,R
9368,The Adventures of Scaramouche,1963,ok,https://www.rottentomatoes.com/m/the_adventures_of_scaramouche,The Adventures of Scaramouche,,,,,,
9369,Asterix Conquers America,1994,ok,https://www.rottentomatoes.com/m/asterix_conquers_america,Asterix Conquers America,,,,35,NEGATIVE,
9370,The Spy,1964,ok,https://www.rottentomatoes.com/m/the_spy_2019,The spy (2019),,,,46,NEGATIVE,
9371,Tender Sharks,1967,not_found,,,,,,,,
9372,Super Size Me,2004,ok,https://www.rottentomatoes.com/m/super_size_me,Super Size Me,,92,POSITIVE,72,POSITIVE,PG-13
9373,The Texas Chainsaw Massacre,2003,ok,https://www.rottentomatoes.com/m/texas_chainsaw_massacre,The Texas Chainsaw Massacre,,37,NEGATIVE,58,NEGATIVE,R
9374,Death Becomes Her,1992,ok,https://www.rottentomatoes.com/m/death_becomes_her,Death Becomes Her,,58,NEGATIVE,62,POSITIVE,PG-13
9375,Crazy,2000,not_found,,,,,,,,
9377,Ferris Bueller's Day Off,1986,ok,https://www.rottentomatoes.com/m/ferris_buellers_day_off,Ferris Bueller's Day Off,,85,POSITIVE,92,POSITIVE,PG-13
9378,Thir13en Ghosts,2001,ok,https://www.rottentomatoes.com/m/thirteen_ghosts,Thirteen Ghosts,,19,NEGATIVE,49,NEGATIVE,R
9379,Otto – The Alien from East Frisia,1989,ok,https://www.rottentomatoes.com/m/alien_from_the_deep,Alien From the Deep,,,,0,NEGATIVE,
9381,Babylon A.D.,2008,ok,https://www.rottentomatoes.com/m/babylon_ad,Babylon A.D.,,7,NEGATIVE,26,NEGATIVE,PG-13
9382,Boys on the Side,1995,ok,https://www.rottentomatoes.com/m/boys_on_the_side,Boys on the Side,,73,POSITIVE,69,POSITIVE,R
9383,Hollow Man,2000,ok,https://www.rottentomatoes.com/m/hollow_man,Hollow Man,,25,NEGATIVE,28,NEGATIVE,R
9384,Starsky & Hutch,2004,ok,https://www.rottentomatoes.com/m/starsky_and_hutch,Starsky & Hutch,,63,POSITIVE,49,NEGATIVE,PG-13
9385,The Twelve Tasks of Asterix,1976,ok,https://www.rottentomatoes.com/m/twelve_tasks_of_asterix,Asterix and the Twelve Tasks,,,,87,POSITIVE,
9386,In the Line of Fire,1993,ok,https://www.rottentomatoes.com/m/in_the_line_of_fire,In the Line of Fire,,96,POSITIVE,79,POSITIVE,R
9387,Conan the Barbarian,1982,ok,https://www.rottentomatoes.com/m/conan_the_barbarian,Conan the Barbarian,,68,POSITIVE,74,POSITIVE,R
9388,Thank You for Smoking,2005,ok,https://www.rottentomatoes.com/m/thank_you_for_smoking,Thank You for Smoking,,86,POSITIVE,87,POSITIVE,R
9389,Renaissance,2006,ok,https://www.rottentomatoes.com/m/renaissance,Renaissance,,49,NEGATIVE,59,NEGATIVE,R
9390,Jerry Maguire,1996,ok,https://www.rottentomatoes.com/m/jerry_maguire,Jerry Maguire,,86,POSITIVE,79,POSITIVE,R
9391,Enduring Love,2004,ok,https://www.rottentomatoes.com/m/enduring_love,Enduring Love,,58,NEGATIVE,60,POSITIVE,R
9392,The Descent,2005,ok,https://www.rottentomatoes.com/m/descent,The Descent,,87,POSITIVE,76,POSITIVE,R
9393,Before the Fall,2004,ok,https://www.rottentomatoes.com/m/napola_elite_fur_den_fuhrer,Before the Fall,,67,POSITIVE,84,POSITIVE,
9394,They Call Me Trinity,1970,ok,https://www.rottentomatoes.com/m/they_call_me_trinity,They Call Me Trinity,,,,83,POSITIVE,G
9395,Above the Law,1988,ok,https://www.rottentomatoes.com/m/above_the_law,Above the Law,,50,NEGATIVE,48,NEGATIVE,R
9396,Crocodile Dundee II,1988,ok,https://www.rottentomatoes.com/m/crocodile_dundee_2,Crocodile Dundee II,,12,NEGATIVE,38,NEGATIVE,PG
9397,Evolution,2001,ok,https://www.rottentomatoes.com/m/1108206-evolution,Evolution,,44,NEGATIVE,48,NEGATIVE,PG-13
9398,Zoolander,2001,ok,https://www.rottentomatoes.com/m/zoolander,Zoolander,,64,POSITIVE,80,POSITIVE,PG-13
9399,Lionheart,1990,ok,https://www.rottentomatoes.com/m/lionheart_1990,Lionheart (1990),,42,NEGATIVE,53,NEGATIVE,R
9400,Set It Off,1996,ok,https://www.rottentomatoes.com/m/set_it_off,Set It Off,,71,POSITIVE,89,POSITIVE,R
9401,2 Days in the Valley,1996,ok,https://www.rottentomatoes.com/m/2_days_in_the_valley,2 Days in the Valley,,60,POSITIVE,54,NEGATIVE,R
