tmdb_id,imdb_id,title,genre,director,producers,screenwriters,imdb_rating,imdb_vote_count,running_time_minutes
10100,tt0376753,Shark Attack in the Mediterranean,"Action, Adventure, Drama",Jorgo Papavassiliou,Hermann Joha,"Jörg Alberts, Roland Heep, Frank Koopmann, Don Schubert",2.5,1198,109
10102,tt0070130,La Grande Bouffe,"Comedy, Drama",Marco Ferreri,Vincent Malle,"Marco Ferreri, Rafael Azcona, Francis Blanche",7.0,16137,130
10103,tt0409072,Windstruck,"Comedy, Crime, Drama",Kwak Jae-young,"Su-yeong Choi, Hoon-tak Jung, Bill Kong",Kwak Jae-young,7.1,8050,123
10104,tt0458438,Dorm Daze 2,Comedy,"David Hillenbrand, Scott Hillenbrand","Brian Farber, Sanford Hampton","Pat Casey, Josh Miller",4.1,5715,100
10105,tt0373283,Saints and Soldiers,"Action, Drama, War",Ryan Little,"Adam Abel, Ryan Little","Geoffrey Panos, Matt Whitaker",6.6,22107,90
10107,tt0476995,Firehouse Dog,"Action, Comedy, Family",Todd Holland,"Michael Colleary, Michael J. Maschio, Mike Werb","Claire-Dee Lim, Mike Werb, Michael Colleary",5.5,6657,111
10108,tt0381116,D.C. Sniper: 23 Days of Fear,"Drama, History, Thriller",Tom McLoughlin,Tracey Jeffrey,Dave Erickson,6.0,1573,85
10109,tt0441263,The White Dragon,"Action, Adventure, Comedy",Wilson Yip,"Ivy Kong, Joe Ma","Wilson Yip, Yiu Fai Lo",5.6,1198,93
10110,tt0092965,Empire of the Sun,"Drama, War",Steven Spielberg,"Kathleen Kennedy, Frank Marshall, Steven Spielberg","Tom Stoppard, J.G. Ballard, Menno Meyjes",7.7,144238,153
10111,tt0427089,Confetti,"Comedy, Music, Romance",Debbie Isitt,"Ian Benson, Ian Flooks",Debbie Isitt,5.7,5532,100
10112,tt0065421,The Aristocats,"Adventure, Animation, Comedy",Wolfgang Reitherman,"Winston Hibler, Wolfgang Reitherman","Larry Clemmons, Vance Gerry, Ken Anderson, Frank Thomas, Eric Cleworth, Julius Svendsen, Ralph Wright, Tom McGowan, Tom Rowe",7.1,126189,78
10113,tt0362636,Fear of Clowns,"Horror, Thriller",Kevin Kangas,"Rick Ganz, John Hess, Kevin Kangas",Kevin Kangas,3.2,939,106
10114,tt0331488,Ring Around the Rosie,"Horror, Thriller",Rubi Zack,"Alex Barder, Lawrence Silverstein, Rubi Zack","Jeff McArthur, Michael Tabb, Rubi Zack, Jim Suthers, Alex Barder",3.3,2109,87
10115,tt0430634,Stick It,"Comedy, Drama, Sport",Jessica Bendinger,Gail Lyon,Jessica Bendinger,6.4,31645,103
10116,tt0475723,Shinobi: Heart Under Blade,"Action, Drama, Fantasy",Ten Shimoyama,"Nozomi Enoki, Hiroyuki Saitô","Kenya Hirata, Fûtarô Yamada",6.8,13234,107
10117,tt0094612,Action Jackson,"Action, Comedy, Crime",Craig R. Baxley,Joel Silver,Robert Reneau,5.6,13716,96
10118,tt0433412,Material Girls,"Comedy, Family, Romance",Martha Coolidge,"Kim Dearborn, Hilary Duff, Susan Duff, David Faigenblum","John Quaintance, Jessica O'Toole, Amy Rardin",4.0,23259,98
10119,tt0425125,The Color of Milk,"Comedy, Romance",Torun Lian,Catho Bach Christensen,Torun Lian,6.3,729,90
10120,tt0893509,Blonde and Blonder,"Comedy, Crime","Dean Hamilton, Bob Clark","Dean Hamilton, Kirk Shaw","Rolfe Kanefsky, Dean Hamilton, Gerry Anderson, Eric Parkinson",2.9,4056,95
10121,tt0490240,Warriors of Terra,"Horror, Sci-Fi",Robert Wilson,"Kate Harrison Karman, Lewin Webb","Dave Bonneywell, Jeremy Boxen",3.1,891,89
10122,tt0091059,Flight of the Navigator,"Adventure, Comedy, Family",Randal Kleiser,"Dimitri Villard, Robert Wald","Mark H. Baker, Michael Burton, Phil Joanou",6.9,55764,90
10123,tt0469233,French for Beginners,"Comedy, Romance",Christian Ditter,"Christoph Menardi, Katharina Schwarz",Christian Ditter,6.2,1267,98
10124,tt0485774,Heartstopper,"Horror, Thriller",Bob Keen,"Kate Harrison Karman, Lewin Webb","Vlady Pildysh, Warren P. Sonoda",4.0,1471,85
10125,tt0329083,Fine Dead Girls,"Drama, Thriller",Dalibor Matanić,Jozo Patljak,"Dalibor Matanić, Mate Matisic",7.1,2614,77
10126,tt0094894,Colors,"Crime, Drama, Thriller",Dennis Hopper,Robert H. Solo,"Michael Schiffer, Richard Di Lello",6.7,33704,120
10127,tt0094919,Critters 2,"Comedy, Horror, Sci-Fi",Mick Garris,Barry Opper,"David Twohy, Mick Garris",5.6,18473,86
10128,tt0094631,Alien Nation,"Action, Sci-Fi",Graham Baker,"Gale Anne Hurd, Richard Kobritz",Rockne S. O'Bannon,6.3,17904,91
10129,tt0095295,Autumn Milk,"Drama, War",Joseph Vilsmaier,Joseph Vilsmaier,"Willi Segler, Peter F. Steinbach, Anna Wimschneider",6.8,512,111
10130,tt0095243,Gorillas in the Mist,"Biography, Drama",Michael Apted,"Terence A. Clegg, Arne Glimcher","Harold T.P. Hayes, Dian Fossey, Anna Hamilton Phelan, Tab Murphy",7.0,31458,129
