tmdb_id,imdb_id,title,status,budget_amount,budget_currency,revenue_amount,revenue_currency,producers,mpaa_rating
2137,tt0165499,The Storm Riders,ok,10000000,United States dollar,,,Manfred Wong,
2138,tt0298754,Berlin Snuff - Straßen der Gewalt,ok,,,,,,
2139,tt0072791,Cleopatra Jones and the Casino of Gold,ok,,,,,,
2141,tt0240628,James Dean,ok,,,,,,
2143,tt0115832,Carla's Song,ok,,,,,,
2145,tt0089162,Feel the Motion,ok,,,,,Bernd Eichinger,
2147,tt0130700,The Flickering Flame,ok,,,,,,
2151,tt0365478,Man with the Screaming Brain,ok,,,,,Jeff Franklin,
2152,tt0811136,Dixie Chicks: Shut Up and Sing,ok,,,,,"Cecilia Peck, Barbara Kopple",
2154,tt0099364,The Dark Side of the Moon,ok,,,,,,
2156,tt0330203,Net Games,ok,,,,,,
2166,tt0120013,The Revengers' Comedies,ok,,,,,,
2168,tt0472582,2:37,ok,,,,,Kent Smith,
2169,tt0102396,Manta - Der Film,ok,,,,,Hanno Huth,
2170,tt0083143,Une glace avec deux boules...,ok,,,,,,
2172,tt0093668,Pathfinder,ok,,,,,John M. Jacobsen,
2173,tt0245724,Big Wind on Campus,ok,,,,,,
2175,tt0433263,Wirklich alles?!,ok,,,,,,
2177,tt2296759,Falco - L.I.V.E Donauinsel + Stadthalle Wien,ok,,,,,,
2178,tt0115635,The Battle of The Alamo,ok,,,,,,
2180,tt0785002,Heartbreak Hotel,ok,,,,,,
2181,tt0058134,The Small White Mouse,ok,,,,,,
2184,tt0107532,Maus und Katz,ok,,,,,,
2186,tt0078503,Within the Woods,ok,,,,,"Rob Tapert, Bruce Campbell, Sam Raimi",
2187,tt0115516,Alles nur Tarnung,ok,,,,,,
2188,tt0267391,The Corrs: Live at Lansdowne Road,ok,,,,,,
2189,tt0090184,Tomboy,ok,,,,,,
2191,tt0283015,Stranded,ok,,,,,,
2192,tt0128447,Temple of the White Elephant,ok,,,,,,
2193,tt0085980,My Tutor,ok,,,,,,
2194,tt0290015,No Regrets,ok,,,,,Stephanie Wagner,
2195,tt0991269,Beste Zeit,ok,,,,,Nils Dünker,
2197,tt0889222,Sounds of Sand,ok,,,,,Marion Hänsel,
2198,tt0079296,"Himmel, Scheich und Wolkenbruch",ok,,,,,,
2199,tt0097938,My Mom's a Werewolf,ok,,,,,,
2200,tt0071688,Jacob the Liar,ok,2411600,East German mark,,,Gerd Zimmermann,
2204,tt0069687,Alice in the Cities,ok,500000,Deutsche Mark,,,Peter Genée,
2205,tt0097464,Real Men Don't Eat Gummi Bears,ok,,,,,Karl Spiehs,
2206,tt0090381,Richy Guitar,ok,,,,,,
2209,tt0074645,Bird Waking Weather,ok,,,,,,
2211,tt0130444,Aimée & Jaguar,ok,,,,,Lew Rywin,
2213,tt0168267,Zerschmetterte Träume - Eine Liebe in Fesseln,ok,,,,,,
2214,tt0049298,Heimliche Ehen,ok,,,,,,
2215,tt0056161,Star-Crossed Lovers,ok,,,,,Hans Mahlich,
2216,tt0053846,Five Cartridges,ok,,,,,,
2217,tt0055716,...And Your Love Too,ok,,,,,,
2218,tt0070192,Die Hosen des Ritters von Bredow,ok,,,,,,
2219,tt0068508,Her Third,ok,,,,,,
2220,tt0068758,Janus Head,ok,,,,,,
2222,tt0056933,Christine,ok,,,,,,
2223,tt0058490,Preludio 11,ok,,,,,,
2225,tt0057830,Alaska - Foxes,ok,,,,,,
2226,tt0061919,A Lord of Alexander Square,ok,,,,,,
2227,tt0056271,Naked Among Wolves,ok,,,,,,
2228,tt0074957,Carnations in Aspic,ok,,,,,,
2229,tt0076040,The Flight,ok,,,,,,
2231,tt0071720,Kit & Co.,ok,,,,,,
2232,tt0070299,The Legend of Paul and Paula,ok,,,,,Erich Albrecht,
2233,tt0053415,Love's Confusion,ok,,,,,,
2234,tt0055748,At a French Fireside,ok,,,,,,
2237,tt0057519,Sunday Drivers,ok,,,,,,
2240,tt0072345,Unterm Birnbaum,ok,,,,,,
2241,tt0177242,Sonnenallee,ok,,,,,"Claus Boje, Detlev Buck",
2242,tt0057211,Julia lebt,ok,,,,,,
2249,tt0328494,Right Under My Eyes,error_request,,,,,,
2250,tt0057816,The Adventures of Werner Holt,ok,,,,,,
2254,tt0233654,Entlassen auf Bewährung,ok,,,,,,
2257,tt0059033,Chronicle of a Murder,ok,,,,,,
2258,tt0105712,Utz,ok,,,,,,
2260,tt0342172,Capturing the Friedmans,ok,,,,,Andrew Jarecki,
2261,tt0070902,Wattstax,ok,,,,,Larry Shaw,
2262,tt0084654,Veronika Voss,ok,,,,,Rainer Werner Fassbinder,
2263,tt0100211,Music Box,ok,,,,,Irwin Winkler,
2264,tt0082671,Lola,ok,,,,,"Thomas Schühly, Horst Wendlandt",
2265,tt0091537,Momo,ok,,,,,Horst Wendlandt,
2267,tt0768212,The Last Mimzy,ok,,,27297451,United States dollar,Michael Phillips,
2282,tt0086650,A Nos Amours,ok,,,,,"Daniel Toscan du Plantier, Michel Pialat",
2285,tt0085843,A Love in Germany,ok,,,,,Artur Brauner,
2286,tt0381111,Crusade in Jeans,ok,,,,,Jet Christiaanse,
2287,tt0436724,Rize,ok,,,,,,
2296,tt0385806,Kein Mann für Camp Detrick,ok,,,,,,
2297,tt0102181,Kafka,error_request,,,,,,
2298,tt0107324,The Film Narrator,ok,,,,,Luggi Waldleitner,
2299,tt0388562,The Light,ok,,,,,,
2301,tt0081844,Collin,ok,,,,,,
2302,tt0099073,Avalon,ok,,,,,Mark Johnson,
2303,tt0115943,Conversation with the Beast,ok,,,,,Rudolf Steiner,
2304,tt0084085,The Wounded Man,ok,,,,,Claude Berri,
2306,tt0083554,God Does Not Believe in Us Anymore,ok,,,,,,
